sick_cd,sick_nm,sickCd,sickEngNm,sickNm
O28,Abnormal findings on antenatal screening of mother,O28,Abnormal findings on antenatal screening of mother,산모의 출산전 선별검사의 이상소견
O29,Complications of anaesthesia during pregnancy,O29,Complications of anaesthesia during pregnancy,임신중 마취의 합병증
O30,Multiple gestation,O30,Multiple gestation,다태임신
O31,Complications specific to multiple gestation,O31,Complications specific to multiple gestation,다태임신에 특이한 합병증
O32,Maternal care for known or suspected malpresentation of fetus,O32,Maternal care for known or suspected malpresentation of fetus,태아의 알려진 또는 의심되는 이상태위에 대한 산모관리
O33,Maternal care for known or suspected disproportion,O33,Maternal care for known or suspected disproportion,알려진 또는 의심되는 불균형에 대한 산모관리
O34,Maternal care for known or suspected abnormality of pelvic organs,O34,Maternal care for known or suspected abnormality of pelvic organs,골반기관의 알려진 또는 의심되는 이상에 대한 산모관리
O35,Maternal care for known or suspected fetal abnormality and damage,O35,Maternal care for known or suspected fetal abnormality and damage,알려진 또는 의심되는 태아 이상 및 손상에 대한 산모관리
O36,Maternal care for other known or suspected fetal problems,O36,Maternal care for other known or suspected fetal problems,기타 알려진 또는 의심되는 태아문제에 대한 산모관리
O40,Polyhydramnios,O40,Polyhydramnios,양수과다증
O41,Other disorders of amniotic fluid and membranes,O41,Other disorders of amniotic fluid and membranes,양수 및 양막의 기타 장애
O42,Premature rupture of membranes,O42,Premature rupture of membranes,양막의 조기파열
O43,Placental disorders,O43,Placental disorders,태반장애
O44,Placenta praevia,O44,Placenta praevia,전치태반
O45,Premature separation of placenta [abruptio placentae],O45,Premature separation of placenta [abruptio placentae],태반의 조기분리[태반조기박리]
O46,"Antepartum haemorrhage, NEC",O46,"Antepartum haemorrhage, NEC",달리 분류되지 않은 분만전 출혈
O47,False labour,O47,False labour,가진통
O48,Prolonged pregnancy,O48,Prolonged pregnancy,지연임신
O60,Preterm labour and delivery,O60,Preterm labour and delivery,조기진통 및 분만
O61,Failed induction of labour,O61,Failed induction of labour,유도분만의 실패
O62,Abnormalities of forces of labour,O62,Abnormalities of forces of labour,분만힘의 이상
O63,Long labour,O63,Long labour,지연진통
O64,Obstructed labour due to malposition and malpresentation of fetus,O64,Obstructed labour due to malposition and malpresentation of fetus,태아의 이상태위로 인한 난산
O65,Obstructed labour due to maternal pelvic abnormality,O65,Obstructed labour due to maternal pelvic abnormality,산모골반이상으로 인한 난산
O66,Other obstructed labour,O66,Other obstructed labour,기타 난산
O67,"Labour and delivery complicated by intrapartum haemorrhage, NEC",O67,"Labour and delivery complicated by intrapartum haemorrhage, NEC",달리 분류되지 않은 분만중 출혈이 합병된 진통 및 분만
O68,Labour and delivery complicated by fetal stress [distress],O68,Labour and delivery complicated by fetal stress [distress],태아스트레스[절박]가 합병된 진통 및 분만
O69,Labour and delivery complicated by umbilical cord complications,O69,Labour and delivery complicated by umbilical cord complications,탯줄합병증이 합병된 진통 및 분만
O70,Perineal laceration during delivery,O70,Perineal laceration during delivery,분만중 회음열상
O71,Other obstetric trauma,O71,Other obstetric trauma,기타 산과적 외상
O72,Postpartum haemorrhage,O72,Postpartum haemorrhage,분만후 출혈
O73,"Retained placenta and membranes, without haemorrhage",O73,"Retained placenta and membranes, without haemorrhage",출혈이 없는 잔류 태반 및 양막
O74,Complications of anaesthesia during labour and delivery,O74,Complications of anaesthesia during labour and delivery,진통 및 분만중 마취의 합병증
O75,"Other complications of labour and delivery, NEC",O75,"Other complications of labour and delivery, NEC",달리 분류되지 않은 진통 및 분만의 기타 합병증
O80,Single spontaneous delivery,O80,Single spontaneous delivery,단일자연분만
O81,Single delivery by forceps and vacuum extractor,O81,Single delivery by forceps and vacuum extractor,집게 및 진공흡착기에 의한 단일분만
O82,Single delivery by caesarean section,O82,Single delivery by caesarean section,제왕절개에 의한 단일분만
O83,Other assisted single delivery,O83,Other assisted single delivery,기타 보조단일분만
O84,Multiple delivery,O84,Multiple delivery,다태분만
O85,Puerperal sepsis,O85,Puerperal sepsis,산후기 패혈증
O86,Other puerperal infections,O86,Other puerperal infections,기타 산후기감염
O87,Venous complications and haemorrhoids in the puerperium,O87,Venous complications and haemorrhoids in the puerperium,산후기중 정맥합병증 및 치핵
O88,Obstetric embolism,O88,Obstetric embolism,산과적 색전증
O89,Complications of anaesthesia during the puerperium,O89,Complications of anaesthesia during the puerperium,산후기중 마취의 합병증
O90,"Complications of the puerperium, NEC",O90,"Complications of the puerperium, NEC",달리 분류되지 않은 산후기의 합병증
O91,Infections of breast associated with childbirth,O91,Infections of breast associated with childbirth,출산과 관련된 유방의 감염
O92,Other disorders of breast and lactation associated with childbirth,O92,Other disorders of breast and lactation associated with childbirth,출산과 관련된 유방 및 수유의 기타 장애
O94,"Sequelae of complication of pregnancy, childbirth and the puerperium",O94,"Sequelae of complication of pregnancy, childbirth and the puerperium","임신, 출산 및 산후기 합병증의 후유증"
O95,Obstetric death of unspecified cause,O95,Obstetric death of unspecified cause,상세불명의 원인에 의한 산과적 사망
O96,Death from any obstetric cause occurring more than 42days but less than one year after delivery,O96,Death from any obstetric cause occurring more than 42days but less than one year after delivery,분만후 42일 초과 1년 이내에 일어난 모든 산과적 원인에 의한 사망
O97,Death from sequelae of obstetric causes,O97,Death from sequelae of obstetric causes,산과적 원인의 후유증에 의한 사망
O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 산모의 감염성 및 기생충성 질환"
O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",O99,"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium","달리 분류될 수 있지만 임신, 출산 및 산후기에 합병된 기타 산모질환"
P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,현재 임신과는 관계 없을 것 같은 산모병태에 의해 영향받은 태아 및 신생아
P01,Fetus and newborn affected by maternal complications of pregnancy,P01,Fetus and newborn affected by maternal complications of pregnancy,임신의 산모합병증에 의해 영향을 받은 태아 및 신생아
P02,"Fetus and newborn affected by complications of placenta, cord and membranes",P02,"Fetus and newborn affected by complications of placenta, cord and membranes","태반, 탯줄 및 태아막의 합병증에 의해 영향을 받은 태아 및 신생아"
P03,Fetus and newborn affected by other complications of labour and delivery,P03,Fetus and newborn affected by other complications of labour and delivery,진통 및 분만의 기타 합병증에 의해 영향을 받은 태아 및 신생아
P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,P04,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,태반 또는 모유를 통해 전달된 해로운 작용에 의해 영향을 받은 태아 및 신생아
P05,Slow fetal growth and fetal malnutrition,P05,Slow fetal growth and fetal malnutrition,태아성장지연 및 태아영양실조
P07,"Disorders related to short gestation and low birth weight, NEC",P07,"Disorders related to short gestation and low birth weight, NEC",달리 분류되지 않은 단기임신 및 저체중출산에 관련된 장애
P08,Disorders related to long gestation and high birth weight,P08,Disorders related to long gestation and high birth weight,장기임신 및 고체중출산에 관련된 장애
P10,Intracranial laceration and haemorrhage due to birth injury,P10,Intracranial laceration and haemorrhage due to birth injury,출산손상으로 인한 두개내 열상 및 출혈
P11,Other birth injuries to central nervous system,P11,Other birth injuries to central nervous system,중추신경계통에 대한 기타 출산손상
P12,Birth injury to scalp,P12,Birth injury to scalp,두피의 출산손상
P13,Birth injury to skeleton,P13,Birth injury to skeleton,골격의 출산손상
P14,Birth injury to peripheral nervous system,P14,Birth injury to peripheral nervous system,말초 신경계통의 출산손상
P15,Other birth injuries,P15,Other birth injuries,기타 출산손상
P20,Intrauterine hypoxia,P20,Intrauterine hypoxia,자궁내저산소증
P21,Birth asphyxia,P21,Birth asphyxia,출산질식
P22,Respiratory distress of newborn,P22,Respiratory distress of newborn,신생아의 호흡곤란
P23,Congenital pneumonia,P23,Congenital pneumonia,선천폐렴
P24,Neonatal aspiration syndromes,P24,Neonatal aspiration syndromes,신생아흡인증후군
P25,Interstitial emphysema and related conditions originating in the perinatal period,P25,Interstitial emphysema and related conditions originating in the perinatal period,출생전후기에 기원한 간질성 폐기종 및 관련 병태
P26,Pulmonary haemorrhage originating in the perinatal period,P26,Pulmonary haemorrhage originating in the perinatal period,출생전후기에 기원한 폐출혈
P27,Chronic respiratory disease originating in the perinatal period,P27,Chronic respiratory disease originating in the perinatal period,출생전후기에 기원한 만성 호흡기질환
P28,Other respiratory conditions originating in the perinatal period,P28,Other respiratory conditions originating in the perinatal period,출생전후기에 기원한 기타 호흡기병태
P29,Cardiovascular disorders originating in the perinatal period,P29,Cardiovascular disorders originating in the perinatal period,출생전후기에 기원한 심혈관장애
P35,Congenital viral diseases,P35,Congenital viral diseases,선천성 바이러스질환
P36,Bacterial sepsis of newborn,P36,Bacterial sepsis of newborn,신생아의 세균패혈증
P37,Other congenital infectious and parasitic diseases,P37,Other congenital infectious and parasitic diseases,기타 선천성 감염 및 기생충질환
P38,Omphalitis of newborn with or without mild haemorrhage,P38,Omphalitis of newborn with or without mild haemorrhage,경도의 출혈을 동반하거나 동반하지 않은 신생아배꼽염
P39,Other infections specific to the perinatal period,P39,Other infections specific to the perinatal period,출생전후기에 특이한 기타 감염
P50,Fetal blood loss,P50,Fetal blood loss,태아실혈
P51,Umbilical haemorrhage of newborn,P51,Umbilical haemorrhage of newborn,신생아의 탯줄출혈
P52,Intracranial nontraumatic haemorrhage of fetus and newborn,P52,Intracranial nontraumatic haemorrhage of fetus and newborn,태아 및 신생아의 두개내 비외상성 출혈
P53,Haemorrhagic disease of fetus and newborn,P53,Haemorrhagic disease of fetus and newborn,태아 및 신생아의 출혈성 질환
P54,Other neonatal haemorrhages,P54,Other neonatal haemorrhages,기타 신생아출혈
P55,Haemolytic disease of fetus and newborn,P55,Haemolytic disease of fetus and newborn,태아 및 신생아의 용혈질환
P56,Hydrops fetalis due to haemolytic disease,P56,Hydrops fetalis due to haemolytic disease,용혈질환으로 인한 태아수종
P57,Kernicterus,P57,Kernicterus,핵황달
P58,Neonatal jaundice due to other excessive haemolysis,P58,Neonatal jaundice due to other excessive haemolysis,기타 과다용혈로 인한 신생아황달
P59,Neonatal jaundice from other and unspecified causes,P59,Neonatal jaundice from other and unspecified causes,기타 및 상세불명의 원인으로 인한 신생아황달
P60,Disseminated intravascular coagulation of fetus and newborn,P60,Disseminated intravascular coagulation of fetus and newborn,태아 및 신생아의 파종성 혈관내응고
P61,Other perinatal haematological disorders,P61,Other perinatal haematological disorders,기타 출생전후기 혈액학적 장애
P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,태아 및 신생아에 특이한 일과성 탄수화물대사장애
P71,Transitory neonatal disorders of calcium and magnesium metabolism,P71,Transitory neonatal disorders of calcium and magnesium metabolism,일과성 신생아 칼슘 및 마그네슘 대사장애
P72,Other transitory neonatal endocrine disorders,P72,Other transitory neonatal endocrine disorders,기타 일과성 신생아내분비장애
P74,Other transitory neonatal electrolyte and metabolic disturbances,P74,Other transitory neonatal electrolyte and metabolic disturbances,기타 일과성 신생아 전해질 및 대사 장애
P75,Meconium ileus in cystic fibrosis(E84.1†),P75,Meconium ileus in cystic fibrosis(E84.1†),낭성 섬유증에서의 태변장폐색(E84.1†)
P76,Other intestinal obstruction of newborn,P76,Other intestinal obstruction of newborn,신생아의 기타 장폐쇄
P77,Necrotizing enterocolitis of fetus and newborn,P77,Necrotizing enterocolitis of fetus and newborn,태아 및 신생아의 괴사성 장결장염
P78,Other perinatal digestive system disorders,P78,Other perinatal digestive system disorders,기타 출생전후기 소화계통장애
P80,Hypothermia of newborn,P80,Hypothermia of newborn,신생아의 저체온증
P81,Other disturbances of temperature regulation of newborn,P81,Other disturbances of temperature regulation of newborn,신생아 체온조절의 기타 장애
P83,Other conditions of integument specific to fetus and newborn,P83,Other conditions of integument specific to fetus and newborn,태아 및 신생아에 특이한 피부의 기타 병태
P90,Convulsions of newborn,P90,Convulsions of newborn,신생아의 경련
P91,Other disturbances of cerebral status of newborn,P91,Other disturbances of cerebral status of newborn,신생아 대뇌상태의 기타 장애
P92,Feeding problems of newborn,P92,Feeding problems of newborn,신생아의 수유문제
P93,Reactions and intoxications due to drugs administered to fetus and newborn,P93,Reactions and intoxications due to drugs administered to fetus and newborn,태아 및 신생아에게 투여한 약물의 반응 및 중독
P94,Disorders of muscle tone of newborn,P94,Disorders of muscle tone of newborn,신생아의 근긴장도의 장애
P95,Fetal death of unspecified cause,P95,Fetal death of unspecified cause,상세불명 원인의 태아사망
P96,Other conditions originating in the perinatal period,P96,Other conditions originating in the perinatal period,출생전후기에 기원한 기타 병태
Q00,Anencephaly and similar malformations,Q00,Anencephaly and similar malformations,무뇌증 및 유사 기형
Q01,Encephalocele,Q01,Encephalocele,뇌류(腦瘤)
Q02,Microcephaly,Q02,Microcephaly,소두증
Q03,Congenital hydrocephalus,Q03,Congenital hydrocephalus,선천수두증
Q04,Other congenital malformations of brain,Q04,Other congenital malformations of brain,뇌의 기타 선천기형
Q05,Spina bifida,Q05,Spina bifida,이분척추
Q06,Other congenital malformations of spinal cord,Q06,Other congenital malformations of spinal cord,척수의 기타 선천기형
Q07,Other congenital malformations of nervous system,Q07,Other congenital malformations of nervous system,신경계통의 기타 선천기형
Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit","눈꺼풀, 눈물기관 및 안와의 선천기형"
Q11,"Anophthalmos, microphthalmos and macrophthalmos",Q11,"Anophthalmos, microphthalmos and macrophthalmos","무안구증, 소안구증 및 대안구증"
Q12,Congenital lens malformations,Q12,Congenital lens malformations,선천성 수정체기형
Q13,Congenital malformations of anterior segment of eye,Q13,Congenital malformations of anterior segment of eye,전안부의 선천기형
Q14,Congenital malformations of posterior segment of eye,Q14,Congenital malformations of posterior segment of eye,후안부의 선천기형
Q15,Other congenital malformations of eye,Q15,Other congenital malformations of eye,눈의 기타 선천기형
Q16,Congenital malformations of ear causing impairment of hearing,Q16,Congenital malformations of ear causing impairment of hearing,청력장애를 유발하는 귀의 선천기형
Q17,Other congenital malformations of ear,Q17,Other congenital malformations of ear,귀의 기타 선천기형
Q18,Other congenital malformations of face and neck,Q18,Other congenital malformations of face and neck,얼굴 및 목의 기타 선천기형
Q20,Congenital malformations of cardiac chambers and connections,Q20,Congenital malformations of cardiac chambers and connections,심장 방실 및 연결의 선천기형
Q21,Congenital malformations of cardiac septa,Q21,Congenital malformations of cardiac septa,심장중격의 선천기형
Q22,Congenital malformations of pulmonary and tricuspid valves,Q22,Congenital malformations of pulmonary and tricuspid valves,폐동맥판 및 삼첨판의 선천기형
Q23,Congenital malformations of aortic and mitral valves,Q23,Congenital malformations of aortic and mitral valves,대동맥판 및 승모판의 선천기형
Q24,Other congenital malformations of heart,Q24,Other congenital malformations of heart,심장의 기타 선천기형
Q25,Congenital malformations of great arteries,Q25,Congenital malformations of great arteries,대동맥혈관의 선천기형
Q26,Congenital malformations of great veins,Q26,Congenital malformations of great veins,대정맥혈관의 선천기형
Q27,Other congenital malformations of peripheral vascular system,Q27,Other congenital malformations of peripheral vascular system,말초혈관계통의 기타 선천기형
Q28,Other congenital malformations of circulatory system,Q28,Other congenital malformations of circulatory system,순환계통의 기타 선천기형
Q30,Congenital malformations of nose,Q30,Congenital malformations of nose,코의 선천기형
Q31,Congenital malformations of larynx,Q31,Congenital malformations of larynx,후두의 선천기형
Q32,Congenital malformations of trachea and bronchus,Q32,Congenital malformations of trachea and bronchus,기관 및 기관지의 선천기형
Q33,Congenital malformations of lung,Q33,Congenital malformations of lung,폐의 선천기형
Q34,Other congenital malformations of respiratory system,Q34,Other congenital malformations of respiratory system,호흡계통의 기타 선천기형
Q35,Cleft palate,Q35,Cleft palate,구개열
Q36,Cleft lip,Q36,Cleft lip,구순열
Q37,Cleft palate with cleft lip,Q37,Cleft palate with cleft lip,구순열을 동반한 구개열
Q38,"Other congenital malformations of tongue, mouth and pharynx",Q38,"Other congenital malformations of tongue, mouth and pharynx","혀, 입 및 인두의 기타 선천기형"
Q39,Congenital malformations of oesophagus,Q39,Congenital malformations of oesophagus,식도의 선천기형
Q40,Other congenital malformations of upper alimentary tract,Q40,Other congenital malformations of upper alimentary tract,상부소화관의 기타 선천기형
Q41,"Congenital absence, atresia and stenosis of small intestine",Q41,"Congenital absence, atresia and stenosis of small intestine","소장의 선천성 결여, 폐쇄 및 협착"
Q42,"Congenital absence, atresia and stenosis of large intestine",Q42,"Congenital absence, atresia and stenosis of large intestine","대장의 선천 결여, 폐쇄 및 협착"
Q43,Other congenital malformations of intestine,Q43,Other congenital malformations of intestine,장의 기타 선천기형
Q44,"Congenital malformations of gallbladder, bile ducts and liver",Q44,"Congenital malformations of gallbladder, bile ducts and liver","담낭, 담관 및 간의 선천기형"
Q45,Other congenital malformations of digestive system,Q45,Other congenital malformations of digestive system,소화계통의 기타 선천기형
Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments","난소, 난관 및 넓은인대의 선천기형"
Q51,Congenital malformations of uterus and cervix,Q51,Congenital malformations of uterus and cervix,자궁 및 자궁경부의 선천기형
Q52,Other congenital malformations of female genitalia,Q52,Other congenital malformations of female genitalia,여성생식기의 기타 선천기형
Q53,Undescended testicle,Q53,Undescended testicle,미하강고환
Q54,Hypospadias,Q54,Hypospadias,요도하열
Q55,Other congenital malformations of male genital organs,Q55,Other congenital malformations of male genital organs,남성생식기관의 기타 선천기형
Q56,Indeterminate sex and pseudohermaphroditism,Q56,Indeterminate sex and pseudohermaphroditism,불확정 성 및 거짓반음양증
Q60,Renal agenesis and other reduction defects of kidney,Q60,Renal agenesis and other reduction defects of kidney,신장무발생 및 신장의 기타 감소결손
Q61,Cystic kidney disease,Q61,Cystic kidney disease,낭성 신장병
Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,신우의 선천성 폐색성 결손 및 요관의 선천기형
Q63,Other congenital malformations of kidney,Q63,Other congenital malformations of kidney,신장의 기타 선천기형
Q64,Other congenital malformations of urinary system,Q64,Other congenital malformations of urinary system,비뇨계통의 기타 선천기형
Q65,Congenital deformities of hip,Q65,Congenital deformities of hip,고관절의 선천변형
Q66,Congenital deformities of feet,Q66,Congenital deformities of feet,발의 선천변형
Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",Q67,"Congenital musculoskeletal deformities of head, face, spine and chest","머리, 얼굴, 척추 및 흉부의 선천성 근골격변형"
Q68,Other congenital musculoskeletal deformities,Q68,Other congenital musculoskeletal deformities,기타 선천성 근골격변형
Q69,Polydactyly,Q69,Polydactyly,다지증
Q70,Syndactyly,Q70,Syndactyly,합지증
Q71,Reduction defects of upper limb,Q71,Reduction defects of upper limb,팔의 감소결손
Q72,Reduction defects of lower limb,Q72,Reduction defects of lower limb,다리의 감소결손
Q73,Reduction defects of unspecified limb,Q73,Reduction defects of unspecified limb,상세불명 사지의 감소결손
Q74,Other congenital malformations of limb(s),Q74,Other congenital malformations of limb(s),사지의 기타 선천기형
Q75,Other congenital malformations of skull and face bones,Q75,Other congenital malformations of skull and face bones,두개골 및 안면골의 기타 선천기형
Q76,Congenital malformations of spine and bony thorax,Q76,Congenital malformations of spine and bony thorax,척추 및 골성 흉곽의 선천기형
Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,관상골 및 척추의 성장결손을 동반한 골연골형성이상
Q78,Other osteochondrodysplasias,Q78,Other osteochondrodysplasias,기타 골연골형성이상
Q79,"Congenital malformations of musculoskeletal system, NEC",Q79,"Congenital malformations of musculoskeletal system, NEC",달리 분류되지 않은 근골격계통의 선천기형
Q80,Congenital ichthyosis,Q80,Congenital ichthyosis,선천비늘증
Q81,Epidermolysis bullosa,Q81,Epidermolysis bullosa,수포성 표피박리증
Q82,Other congenital malformations of skin,Q82,Other congenital malformations of skin,피부의 기타 선천기형
Q83,Congenital malformations of breast,Q83,Congenital malformations of breast,유방의 선천기형
Q84,Other congenital malformations of integument,Q84,Other congenital malformations of integument,외피의 기타 선천기형
Q85,"Phakomatoses, NEC",Q85,"Phakomatoses, NEC",달리 분류되지 않은 모반증
Q86,"Congenital malformation syndromes due to known exogenous causes, NEC",Q86,"Congenital malformation syndromes due to known exogenous causes, NEC",달리 분류되지 않은 알려진 외인으로 인한 선천기형증후군
Q87,Other specified congenital malformation syndromes affecting multiple systems,Q87,Other specified congenital malformation syndromes affecting multiple systems,다발계통에 영향을 주는 기타 명시된 선천기형증후군
Q89,"Other congenital malformations, NEC",Q89,"Other congenital malformations, NEC",달리 분류되지 않은 기타 선천기형
Q90,Down’s syndrome,Q90,Down’s syndrome,다운증후군
Q91,Edwards’ syndrome and Patau’s syndrome,Q91,Edwards’ syndrome and Patau’s syndrome,에드워즈증후군 및 파타우증후군
Q92,"Other trisomies and partial trisomies of the autosomes, NEC",Q92,"Other trisomies and partial trisomies of the autosomes, NEC",달리 분류되지 않은 보통염색체의 기타 삼염색체증 및 부분삼염색체증
Q93,"Monosomies and deletions from the autosomes, NEC",Q93,"Monosomies and deletions from the autosomes, NEC",달리 분류되지 않은 보통염색체의 단일염색체증 및 결손
Q95,"Balanced rearrangements and structural markers, NEC",Q95,"Balanced rearrangements and structural markers, NEC",달리 분류되지 않은 균형된 재배열 및 구조표지자
Q96,Turner’s syndrome,Q96,Turner’s syndrome,터너증후군
Q97,"Other sex chromosome abnormalities, female phenotype, NEC",Q97,"Other sex chromosome abnormalities, female phenotype, NEC",달리 분류되지 않은 여성표현형의 기타 성염색체이상
Q98,"Other sex chromosome abnormalities, male phenotype, NEC",Q98,"Other sex chromosome abnormalities, male phenotype, NEC",달리 분류되지 않은 남성표현형의 기타 성염색체이상
Q99,"Other chromosome abnormalities, NEC",Q99,"Other chromosome abnormalities, NEC",달리 분류되지 않은 기타 염색체이상
R00,Abnormalities of heart beat,R00,Abnormalities of heart beat,심장박동의 이상
R01,Cardiac murmurs and other cardiac sounds,R01,Cardiac murmurs and other cardiac sounds,심잡음 및 기타 심음
R02,"Gangrene, NEC",R02,"Gangrene, NEC",달리 분류되지 않은 괴저
R03,"Abnormal blood-pressure reading, without diagnosis",R03,"Abnormal blood-pressure reading, without diagnosis",진단명 없는 혈압수치이상
R04,Haemorrhage from respiratory passages,R04,Haemorrhage from respiratory passages,기도출혈
R05,Cough,R05,Cough,기침
R06,Abnormalities of breathing,R06,Abnormalities of breathing,호흡의 이상
R07,Pain in throat and chest,R07,Pain in throat and chest,목구멍 및 가슴의 통증
R09,Other symptoms and signs involving the circulatory and respiratory systems,R09,Other symptoms and signs involving the circulatory and respiratory systems,순환계통 및 호흡계통의 기타 증상 및 징후
R10,Abdominal and pelvic pain,R10,Abdominal and pelvic pain,복부 및 골반 통증
R11,Nausea and vomiting,R11,Nausea and vomiting,구역 및 구토
R12,Heartburn,R12,Heartburn,속쓰림
R13,Dysphagia,R13,Dysphagia,삼킴곤란
R14,Flatulence and related conditions,R14,Flatulence and related conditions,고창 및 연관된 병태
R15,Faecal incontinence,R15,Faecal incontinence,대변실금
R16,"Hepatomegaly and splenomegaly, NEC",R16,"Hepatomegaly and splenomegaly, NEC",달리 분류되지 않은 간비대 및 비장비대
R17,"Hyperbilirubinaemia, with or without jaundice, not elsewhere classified",R17,"Hyperbilirubinaemia, with or without jaundice, not elsewhere classified",황달을 동반하거나 동반하지 않은 달리 분류되지 않은 과빌리루빈혈증
R18,Ascites,R18,Ascites,복수
R19,Other symptoms and signs involving the digestive system and abdomen,R19,Other symptoms and signs involving the digestive system and abdomen,소화계통 및 복부의 기타 증상 및 징후
R20,Disturbances of skin sensation,R20,Disturbances of skin sensation,피부감각의 장애
R21,Rash and other nonspecific skin eruption,R21,Rash and other nonspecific skin eruption,발진 및 기타 비특이성 피부발진
R22,"Localized swelling, mass and lump of skin and subcutaneous tissue",R22,"Localized swelling, mass and lump of skin and subcutaneous tissue","피부 및 피하조직의 국소적 부기, 종괴 및 덩이"
R23,Other skin changes,R23,Other skin changes,기타 피부변화
R25,Abnormal involuntary movements,R25,Abnormal involuntary movements,이상불수의운동
R26,Abnormalities of gait and mobility,R26,Abnormalities of gait and mobility,보행과 이동의 이상
R27,Other lack of coordination,R27,Other lack of coordination,기타 협조결여
R29,Other symptoms and signs involving the nervous and musculoskeletal systems,R29,Other symptoms and signs involving the nervous and musculoskeletal systems,신경계통 및 근골격계통의 기타 증상 및 징후
R30,Pain associated with micturition,R30,Pain associated with micturition,배뇨와 연관된 통증
R31,Unspecified haematuria,R31,Unspecified haematuria,상세불명의 혈뇨
R32,Unspecified urinary incontinence,R32,Unspecified urinary incontinence,상세불명의 요실금
R33,Retention of urine,R33,Retention of urine,소변정체
R34,Anuria and oliguria,R34,Anuria and oliguria,무뇨 및 핍뇨
R35,Polyuria,R35,Polyuria,다뇨
R36,Urethral discharge,R36,Urethral discharge,요도분비물
R39,Other symptoms and signs involving the urinary system,R39,Other symptoms and signs involving the urinary system,비뇨계통의 기타 증상 및 징후
R40,"Somnolence, stupor and coma",R40,"Somnolence, stupor and coma","기면, 혼미 및 혼수"
R41,Other symptoms and signs involving cognitive functions and awareness,R41,Other symptoms and signs involving cognitive functions and awareness,인지기능 및 자각에 관련된 기타 증상 및 징후
R42,Dizziness and giddiness,R42,Dizziness and giddiness,어지럼증 및 어지럼
R43,Disturbances of smell and taste,R43,Disturbances of smell and taste,후각 및 미각 장애
R44,Other symptoms and signs involving general sensations and perceptions,R44,Other symptoms and signs involving general sensations and perceptions,일반적 감각 및 지각에 관련된 기타 증상 및 징후
R45,Symptoms and signs involving emotional state,R45,Symptoms and signs involving emotional state,정서상태에 관련된 증상 및 징후
R46,Symptoms and signs involving appearance and behaviour,R46,Symptoms and signs involving appearance and behaviour,외양 및 행동에 관련된 증상 및 징후
R47,"Speech disturbances, NEC",R47,"Speech disturbances, NEC",달리 분류되지 않은 언어장애
R48,"Dyslexia and other symbolic dysfunctions, NEC",R48,"Dyslexia and other symbolic dysfunctions, NEC",달리 분류되지 않은 난독증 및 기타 상징적 기능이상
R49,Voice disturbances,R49,Voice disturbances,음성장애
R50,Fever of other and unknown origin,R50,Fever of other and unknown origin,기타 및 원인미상의 열
R51,Headache,R51,Headache,두통
R52,"Pain, NEC",R52,"Pain, NEC",달리 분류되지 않은 통증
R53,Malaise and fatigue,R53,Malaise and fatigue,병감 및 피로
R54,Senility,R54,Senility,노쇠
R55,Syncope and collapse,R55,Syncope and collapse,실신 및 허탈
R56,"Convulsions, NEC",R56,"Convulsions, NEC",달리 분류되지 않은 경련
R57,"Shock, NEC",R57,"Shock, NEC",달리 분류되지 않은 쇼크
R58,"Haemorrhage, NEC",R58,"Haemorrhage, NEC",달리 분류되지 않은 출혈
R59,Enlarged lymph nodes,R59,Enlarged lymph nodes,림프절비대
R60,"Oedema, NEC",R60,"Oedema, NEC",달리 분류되지 않은 부종
R61,Hyperhidrosis,R61,Hyperhidrosis,다한증
R62,Lack of expected normal physiological development,R62,Lack of expected normal physiological development,기대되는 정상 생리학적 발달의 결여
R63,Symptoms and signs concerning food and fluid intake,R63,Symptoms and signs concerning food and fluid intake,음식 및 수액 섭취에 관계된 증상 및 징후
R64,Cachexia,R64,Cachexia,카켁시아
R65,Systemic Inflammatory Response Syndrome,R65,Systemic Inflammatory Response Syndrome,전신염증반응증후군
R68,Other general symptoms and signs,R68,Other general symptoms and signs,기타 전신 증상 및 징후
