sick_cd,sick_nm,sickCd,sickEngNm,sickNm
C11,Malignant neoplasm of nasopharynx,C11,Malignant neoplasm of nasopharynx,비인두의 악성 신생물
C12,Malignant neoplasm of pyriform sinus,C12,Malignant neoplasm of pyriform sinus,이상동(梨狀洞)의 악성 신생물
C13,Malignant neoplasm of hypopharynx,C13,Malignant neoplasm of hypopharynx,하인두의 악성 신생물
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx","입술, 구강 및 인두내의 기타 및 부위불명의 악성 신생물"
C15,Malignant neoplasm of oesophagus,C15,Malignant neoplasm of oesophagus,식도의 악성 신생물
C16,Malignant neoplasm of stomach,C16,Malignant neoplasm of stomach,위의 악성 신생물
C17,Malignant neoplasm of small intestine,C17,Malignant neoplasm of small intestine,소장의 악성 신생물
C18,Malignant neoplasm of colon,C18,Malignant neoplasm of colon,결장의 악성 신생물
C19,Malignant neoplasm of rectosigmoid junction,C19,Malignant neoplasm of rectosigmoid junction,직장구불결장접합부의 악성 신생물
C20,Malignant neoplasm of rectum,C20,Malignant neoplasm of rectum,직장의 악성 신생물
C21,Malignant neoplasm of anus and anal canal,C21,Malignant neoplasm of anus and anal canal,항문 및 항문관의 악성 신생물
C22,Malignant neoplasm of liver and intrahepatic bile ducts,C22,Malignant neoplasm of liver and intrahepatic bile ducts,간 및 간내 담관의 악성 신생물
C23,Malignant neoplasm of gallbladder,C23,Malignant neoplasm of gallbladder,담낭의 악성 신생물
C24,Malignant neoplasm of other and unspecified parts of biliary tract,C24,Malignant neoplasm of other and unspecified parts of biliary tract,담도의 기타 및 상세불명 부분의 악성 신생물
C25,Malignant neoplasm of pancreas,C25,Malignant neoplasm of pancreas,췌장의 악성 신생물
C26,Malignant neoplasm of other and ill-defined digestive organs,C26,Malignant neoplasm of other and ill-defined digestive organs,기타 및 부위불명 소화기관의 악성 신생물
C30,Malignant neoplasm of nasal cavity and middle ear,C30,Malignant neoplasm of nasal cavity and middle ear,비강 및 중이의 악성 신생물
C31,Malignant neoplasm of accessory sinuses,C31,Malignant neoplasm of accessory sinuses,부비동의 악성 신생물
C32,Malignant neoplasm of larynx,C32,Malignant neoplasm of larynx,후두의 악성 신생물
C33,Malignant neoplasm of trachea,C33,Malignant neoplasm of trachea,기관의 악성 신생물
C34,Malignant neoplasm of bronchus and lung,C34,Malignant neoplasm of bronchus and lung,기관지 및 폐의 악성 신생물
C37,Malignant neoplasm of thymus,C37,Malignant neoplasm of thymus,흉선의 악성 신생물
C38,"Malignant neoplasm of heart, mediastinum and pleura",C38,"Malignant neoplasm of heart, mediastinum and pleura","심장, 종격 및 흉막의 악성 신생물"
C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,기타 및 부위불명의 호흡기 및 흉곽내기관의 악성 신생물
C40,Malignant neoplasm of bone and articular cartilage of limbs,C40,Malignant neoplasm of bone and articular cartilage of limbs,사지의 골 및 관절연골의 악성 신생물
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites,기타 및 상세불명 부위의 골 및 관절연골의 악성 신생물
C43,Malignant melanoma of skin,C43,Malignant melanoma of skin,피부의 악성 흑색종
C44,Other malignant neoplasms of skin,C44,Other malignant neoplasms of skin,기타 피부의 악성 신생물
C45,Mesothelioma,C45,Mesothelioma,중피종
C46,Kaposi’s sarcoma,C46,Kaposi’s sarcoma,카포시육종
C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,말초신경 및 자율신경계통의 악성 신생물
C48,Malignant neoplasm of retroperitoneum and peritoneum,C48,Malignant neoplasm of retroperitoneum and peritoneum,후복막 및 복막의 악성 신생물
C49,Malignant neoplasm of other connective and soft tissue,C49,Malignant neoplasm of other connective and soft tissue,기타 결합조직 및 연조직의 악성 신생물
C50,Malignant neoplasm of breast,C50,Malignant neoplasm of breast,유방의 악성 신생물
C51,Malignant neoplasm of vulva,C51,Malignant neoplasm of vulva,외음의 악성 신생물
C52,Malignant neoplasm of vagina,C52,Malignant neoplasm of vagina,질의 악성 신생물
C53,Malignant neoplasm of cervix uteri,C53,Malignant neoplasm of cervix uteri,자궁경부의 악성 신생물
C54,Malignant neoplasm of corpus uteri,C54,Malignant neoplasm of corpus uteri,자궁체부의 악성 신생물
C55,"Malignant neoplasm of uterus, part unspecified",C55,"Malignant neoplasm of uterus, part unspecified",자궁의 상세불명 부분의 악성 신생물
C56,Malignant neoplasm of ovary,C56,Malignant neoplasm of ovary,난소의 악성 신생물
C57,Malignant neoplasm of other and unspecified female genital organs,C57,Malignant neoplasm of other and unspecified female genital organs,기타 및 상세불명의 여성생식기관의 악성 신생물
C58,Malignant neoplasm of placenta,C58,Malignant neoplasm of placenta,태반의 악성 신생물
C60,Malignant neoplasm of penis,C60,Malignant neoplasm of penis,음경의 악성 신생물
C61,Malignant neoplasm of prostate,C61,Malignant neoplasm of prostate,전립선의 악성 신생물
C62,Malignant neoplasm of testis,C62,Malignant neoplasm of testis,고환의 악성 신생물
